Unnamed: 0,Project,project name,source,gis,latitude,longitude,Lat Long Values,new price,old price,type,pincode,address,size,BHK,city,RERA Approved,final_price
137,Stand Alone,Stand Alone,Konu,,17.443029,78.269592,,11000.0,,Stand Alone,502300.0,,1397.0,,,no,15367000.0
138,Stand Alone,Stand Alone,Konu,,17.476072,78.238198,,5312.0,,Stand Alone,502300.0,,1266.0,,,no,6724992.0
139,Stand Alone,Stand Alone,Konu,,17.455021,78.143478,,6200.0,,Stand Alone,501203.0,,1267.5,,,no,7858500.0
140,Stand Alone,Stand Alone,Konu,,17.451384,78.144313,,6000.0,,Stand Alone,501203.0,,1154.0,,,no,6924000.0
141,sunyuga vista,Gated Community Apartment,Konu,,17.557131,78.466689,,4600.0,,Gated community,500100.0,,942.5,,,yes,4335500.0
142,primark econest,Gated Community Apartment,Konu,,17.563842,78.469212,,5000.0,,Gated community,500100.0,,1266.0,,,no,6330000.0
143,om sree galaxy,Gated Community Apartment,Konu,,17.56133,78.488866,,7300.0,,Gated community,500100.0,,842.0,,,no,6146600.0
144,park wood towers,Gated Community Apartment,Konu,,17.571077,78.495362,,5600.0,,Gated community,500100.0,,1950.0,,,yes,10920000.0
145,Makuta Horizon & Prime,Gated Community Apartment,Konu,,17.543204,78.478274,,7599.0,,Gated community,500100.0,,1371.0,,,no,10418229.0
146,om sree sky park,Gated Community Apartment,Konu,,17.533701,78.477328,,8000.0,,Gated community,500100.0,,741.0,,,no,5928000.0
147,delight fortune homes,Gated Community Apartment,Konu,,17.548415,78.491282,,5600.0,,Gated community,500100.0,,1897.0,,,no,10623200.0
148,sree vari pride,Gated Community Apartment,Konu,,17.539375,78.487724,,5400.0,,Gated community,500100.0,,754.0,,,no,4071600.0
2022172,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571.0,,Gated community / Apartment,500094.0,"Sainikpuri, Hyderabad",897.0,,,yes,7688187.0
2022173,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571.0,,Gated community / Apartment,500094.0,"Sainikpuri, Hyderabad",900.0,,,yes,7713900.0
2022174,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571.0,,Gated community / Apartment,500094.0,"Sainikpuri, Hyderabad",900.0,,,yes,7713900.0
2022176,"GK Casa Grande, Yapral, Hyderabad",GK Casa Grande,"3rd party, Property Science",,17.514976,78.540068,,9286.0,,Stand Alone / Apartment,500078.0,"Yapral, Hyderabad",1674.4,,,no,15548478.4
2022177,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571.0,,Gated community / Apartment,500094.0,"Sainikpuri, Hyderabad",905.0,,,yes,7756755.0
